time,accx,accy,accz
2897,  1127, -6220,-14704
2903,  1145, -6229,-14679
2912,  1156, -6236,-14686
2921,  1160, -6240,-14706
2932,  1167, -6244,-14703
2942,  1166, -6239,-14725
2953,  1152, -6235,-14656
2962,  1180, -6238,-14697
2974,  1220, -6256,-14666
2982,  1260, -6262,-14606
2991,  1298, -6282,-14610
3002,  1328, -6299,-14482
3012,  1338, -6305,-14594
3022,  1238, -6285,-14498
3032,  1090, -6227,-14588
3042,  1005, -6184,-14865
3051,   957, -6163,-14688
3062,   985, -6161,-14759
3071,  1051, -6181,-14848
3082,  1099, -6193,-14619
3092,  1173, -6216,-14644
3101,  1200, -6230,-14669
3111,  1180, -6227,-14614
3121,  1161, -6221,-14695
3131,  1157, -6226,-14696
3142,  1197, -6249,-14664
3151,  1230, -6255,-14652
3183,  1235, -6250,-14666
3189,  1266, -6265,-14656
3195,  1290, -6282,-14539
3201,  1320, -6295,-14573
3207,  1267, -6278,-14599
3213,  1156, -6232,-14647
3222,  1101, -6200,-14719
3231,  1121, -6204,-14729
3242,  1142, -6216,-14680
3252,  1119, -6215,-14660
3262,  1071, -6193,-14703
3271,  1025, -6174,-14742
3283,  1002, -6166,-14747
3292,   997, -6170,-14720
3302,   993, -6174,-14746
3313,  1006, -6173,-14716
3322,  1031, -6180,-14702
3333,  1037, -6181,-14687
3345,  1049, -6187,-14673
3352,  1051, -6189,-14661
3362,  1035, -6184,-14680
3372,  1011, -6179,-14692
3382,   979, -6167,-14723
3392,   985, -6172,-14703
3405,   991, -6169,-14690
3414,   981, -6162,-14694
3422,   961, -6155,-14706
3432,   934, -6144,-14729
3442,   912, -6130,-14746
3456,   887, -6124,-14765
3463,   879, -6122,-14763
3473,   871, -6120,-14763
3486,   864, -6123,-14768
3493,   864, -6126,-14767
3502,   880, -6135,-14764
3512,   904, -6143,-14748
3522,   930, -6149,-14729
3532,   948, -6156,-14706
3542,   957, -6162,-14701
3552,   969, -6161,-14701
3562,   977, -6162,-14700
3572,   987, -6169,-14705
3582,   999, -6172,-14699
3593,   975, -6161,-14733
3603,   942, -6146,-14781
3612,   935, -6140,-14813
3622,  1000, -6170,-14759
3633,  1043, -6189,-14731
3642,   918, -6139,-14914
3653,  1171, -6248,-14646
3665,  1242, -6271,-14603
3672,  1247, -6269,-14625
3682,  1252, -6268,-14639
3703,  1263, -6270,-14646
3710,  1265, -6271,-14650
3716,  1264, -6272,-14652
3722,  1267, -6268,-14657
3732,  1274, -6261,-14664
3742,  1270, -6262,-14664
3752,  1268, -6262,-14668
