time,gyrx,gyry,gyrz
3481,    -4,    30,   106
3490,    -4,    30,   106
3500,    -4,    30,   106
3510,    -4,    30,   106
3520,    -4,    30,   106
3535,    -4,    30,   106
3541,    -4,    30,   106
3551,    -4,    30,   106
3563,    -4,    30,   106
3570,    -4,    30,   106
3580,    -4,    30,   106
3596,    -4,    30,   106
3602,    -4,    30,   106
3610,    -4,    30,   106
3621,    -4,    30,   106
3630,    -4,    30,   106
3642,    -4,    30,   106
3650,    -4,    30,   106
3660,    -4,    30,   106
3670,    -4,    30,   106
3681,    -4,    30,   106
3691,    -4,    30,   106
3700,    -4,    30,   106
3711,    -4,    30,   106
3720,    -4,    30,   106
3730,    -4,    30,   106
3740,    -4,    30,   106
3750,    -4,    30,   106
3764,    -4,    30,   106
3770,    -4,    30,   106
3780,    -4,    30,   106
3795,    -4,    30,   106
3802,    -4,    30,   106
3811,    -4,    30,   106
3820,    -4,    30,   106
3831,    -4,    30,   106
3840,    -4,    30,   106
3851,    -4,    30,   106
3860,    -4,    30,   106
3870,    -4,    30,   106
3881,    -4,    30,   106
3890,    -4,    30,   106
3900,    -4,    30,   106
3910,    -4,    30,   106
3920,    -4,    30,   106
3930,    -4,    30,   106
3941,    -4,    30,   106
3950,    -4,    30,   106
3960,    -4,    30,   106
3970,    -4,    30,   106
3981,    -4,    30,   106
3990,    -4,    30,   106
4001,    -4,    30,   106
4011,    -4,    30,   106
4021,    -4,    30,   106
4030,    -4,    30,   106
4040,    -4,    30,   106
4052,    -4,    30,   106
4061,    -4,    30,   106
4071,    -4,    30,   106
4080,    -4,    30,   106
4091,    -4,    30,   106
4101,    -4,    30,   106
4110,    -4,    30,   106
4120,    -4,    30,   106
4131,    -4,    30,   106
4140,    -4,    30,   106
4151,    -4,    30,   106
4160,    -4,    30,   106
4171,    -4,    30,   106
4180,    -4,    30,   106
4192,    -4,    30,   106
4201,    -4,    30,   106
4218,    -4,    30,   106
4223,    -4,    30,   106
4231,    -4,    30,   106
4240,    -4,    30,   106
4251,    -4,    30,   106
4260,    -4,    30,   106
4272,    -4,    30,   106
4281,    -4,    30,   106
4290,    -4,    30,   106
4301,    -4,    30,   106
4315,    -4,    30,   106
4321,    -4,    30,   106
4331,    -4,    30,   106
4340,    -4,    30,   106
4351,    -4,    30,   106
4361,    -4,    30,   106
4371,    -4,    30,   106
4380,    -4,    30,   106
4390,    -4,    30,   106
4401,    -4,    30,   106
4410,    -4,    30,   106
4421,    -4,    30,   106
4430,    -4,    30,   106
4440,    -4,    30,   106
4451,    -4,    30,   106
4461,    -4,    30,   106
4471,    -4,    30,   106
4480,    -4,    30,   106
4491,    -4,    30,   106
4501,    -4,    30,   106
4511,    -4,    30,   106
4522,    -4,    30,   106
4531,    -4,    30,   106
4540,    -4,    30,   106
4550,    -4,    30,   106
4561,    -4,    30,   106
4571,    -4,    30,   106
4582,    -4,    30,   106
4591,    -4,    30,   106
4605,    -4,    30,   106
4615,    -4,    30,   106
4625,    -4,    30,   106
4632,    -4,    30,   106
4641,    -4,    30,   106
4651,    -4,    30,   106
4665,    -4,    30,   106
4672,    -4,    30,   106
4681,    -4,    30,   106
4691,    -4,    30,   106
4703,    -4,    30,   106
4711,    -4,    30,   106
4721,    -4,    30,   106
4731,    -4,    30,   106
4741,    -4,    30,   106
4753,    -4,    30,   106
4761,    -4,    30,   106
4771,    -4,    30,   106
4782,    -4,    30,   106
4805,    -4,    30,   106
4811,    -4,    30,   106
4817,    -4,    30,   106
4824,    -4,    30,   106
4832,    -4,    30,   106
4840,    -4,    30,   106
4852,    -4,    30,   106
4861,    -4,    30,   106
4871,    -4,    30,   106
4883,    -4,    30,   106
4891,    -4,    30,   106
